PERFORMANCE_ID,SCORE,RATING,SONG_NAME,ARTIST,RELEASE_YEAR,SONG_DIFFICULTY_RATING,SONG_FUN_RATING,PERFORMANCE_DATETIME,TEAM_SIZE,INSTRUMENTS_COVERED,PREF_MATCH_RATIO,MONTH,DAY_OF_WEEK
1,16517,6.7,Dream On,Aerosmith,1973,7.0,8.6,2026-02-04,4,4,0.5,2,2
2,46750,4.6,Hotel California,Eagles,1977,7.8,8.5,2026-02-05,3,4,0.5,2,3
3,51119,8.0,Born to Run,Bruce Springsteen,1975,6.8,8.7,2026-01-13,2,4,0.25,1,1
4,28606,4.4,Thunderstruck,AC/DC,1990,8.0,9.5,2025-12-20,4,4,0.25,12,5
5,36951,1.7,Bohemian Rhapsody,Queen,1975,9.2,9.8,2026-03-03,4,4,0.5,3,1
6,17283,1.2,Bohemian Rhapsody,Queen,1975,9.2,9.8,2025-05-02,4,4,0.5,5,4
7,15076,8.5,Smoke on the Water,Deep Purple,1972,4.5,7.5,2026-03-25,4,4,0.0,3,2
8,57395,5.3,Don't Stop Believin',Journey,1981,5.0,9.5,2025-04-29,4,4,0.25,4,1
9,54580,7.6,We Will Rock You,Queen,1977,3.0,9.0,2026-02-12,4,4,0.25,2,3
10,23375,4.3,Livin' on a Prayer,Bon Jovi,1986,5.5,9.3,2026-03-11,4,4,0.25,3,2
11,9096,7.9,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0,2025-08-21,3,4,0.25,8,3
12,72329,2.1,Smoke on the Water,Deep Purple,1972,4.5,7.5,2026-01-14,4,4,0.0,1,2
13,76765,2.9,Highway to Hell,AC/DC,1979,5.8,8.9,2025-12-07,4,4,0.25,12,6
14,52133,9.2,Kashmir,Led Zeppelin,1975,7.0,8.8,2025-05-06,4,4,0.25,5,1
15,9523,0.7,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2,2025-05-30,4,4,0.25,5,4
16,22468,5.2,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0,2026-01-02,4,4,0.25,1,4
17,7297,7.7,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2,2025-08-30,4,4,0.25,8,5
18,61833,5.3,Kashmir,Led Zeppelin,1975,7.0,8.8,2025-12-09,4,4,0.25,12,1
19,79554,6.5,Don't Stop Believin',Journey,1981,5.0,9.5,2025-05-14,4,4,0.5,5,2
20,6621,0.3,Barracuda,Heart,1977,7.2,8.4,2025-09-30,3,4,0.5,9,1
21,41256,4.3,Hotel California,Eagles,1977,7.8,8.5,2025-10-17,3,4,0.5,10,4
22,27216,7.2,Bohemian Rhapsody,Queen,1975,9.2,9.8,2025-07-05,4,4,0.0,7,5
23,17247,0.1,Barracuda,Heart,1977,7.2,8.4,2025-11-30,4,4,0.25,11,6
24,73242,3.2,Smoke on the Water,Deep Purple,1972,4.5,7.5,2025-05-28,3,4,0.25,5,2
25,63233,7.2,Hotel California,Eagles,1977,7.8,8.5,2026-03-18,4,4,0.0,3,2
26,53619,6.4,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2026-03-09,4,4,0.0,3,0
27,52149,0.4,Born to Run,Bruce Springsteen,1975,6.8,8.7,2025-05-26,4,4,0.5,5,0
28,93785,9.7,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0,2026-01-06,4,4,0.5,1,1
29,48007,8.8,We Will Rock You,Queen,1977,3.0,9.0,2026-01-03,4,4,0.5,1,5
30,38521,6.0,Barracuda,Heart,1977,7.2,8.4,2025-08-25,3,4,0.0,8,0
31,43346,5.5,Paint It Black,The Rolling Stones,1966,6.5,8.0,2025-07-07,4,4,0.25,7,0
32,67362,9.6,Thunderstruck,AC/DC,1990,8.0,9.5,2025-11-15,2,4,0.25,11,5
33,61386,3.2,Barracuda,Heart,1977,7.2,8.4,2025-05-14,4,4,0.25,5,2
34,32544,1.4,Thunderstruck,AC/DC,1990,8.0,9.5,2025-08-30,4,4,0.25,8,5
35,26095,1.7,Paint It Black,The Rolling Stones,1966,6.5,8.0,2026-01-14,4,4,0.5,1,2
36,14599,9.7,Kashmir,Led Zeppelin,1975,7.0,8.8,2026-01-07,4,4,0.25,1,2
37,72830,6.8,Barracuda,Heart,1977,7.2,8.4,2025-09-11,4,4,0.25,9,3
38,9869,6.3,Don't Stop Believin',Journey,1981,5.0,9.5,2025-11-25,4,4,0.25,11,1
39,79227,4.7,Back in Black,AC/DC,1980,6.0,8.8,2026-03-24,4,4,0.0,3,1
40,27727,8.2,Won't Get Fooled Again,The Who,1971,7.8,8.9,2025-12-01,3,4,0.0,12,0
41,59902,8.6,Dream On,Aerosmith,1973,7.0,8.6,2025-08-17,4,4,0.25,8,6
42,92578,0.6,Kashmir,Led Zeppelin,1975,7.0,8.8,2025-07-03,4,4,0.0,7,3
43,59806,3.3,Born to Run,Bruce Springsteen,1975,6.8,8.7,2026-02-09,3,4,0.25,2,0
44,21967,1.8,Barracuda,Heart,1977,7.2,8.4,2025-05-22,3,4,0.5,5,3
45,83475,4.3,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0,2025-08-21,4,4,0.0,8,3
46,97673,7.9,Kashmir,Led Zeppelin,1975,7.0,8.8,2025-09-24,3,4,0.0,9,2
47,74553,3.6,Born to Run,Bruce Springsteen,1975,6.8,8.7,2025-11-05,3,4,0.0,11,2
48,68553,9.3,Paint It Black,The Rolling Stones,1966,6.5,8.0,2025-04-23,4,4,0.25,4,2
49,98293,0.3,Born to Run,Bruce Springsteen,1975,6.8,8.7,2025-06-19,4,4,0.0,6,3
50,92350,7.1,Livin' on a Prayer,Bon Jovi,1986,5.5,9.3,2025-12-09,3,4,0.25,12,1
51,31281,4.1,Highway to Hell,AC/DC,1979,5.8,8.9,2025-08-27,4,4,0.25,8,2
52,47114,5.5,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2,2026-01-24,4,4,0.25,1,5
53,82755,2.7,Kashmir,Led Zeppelin,1975,7.0,8.8,2025-12-12,4,4,0.25,12,4
54,84860,8.7,Don't Stop Believin',Journey,1981,5.0,9.5,2025-10-12,4,4,0.25,10,6
55,81041,1.5,Smoke on the Water,Deep Purple,1972,4.5,7.5,2025-05-31,3,4,0.25,5,5
56,92402,2.2,Thunderstruck,AC/DC,1990,8.0,9.5,2025-08-21,4,4,0.5,8,3
57,77542,2.7,Won't Get Fooled Again,The Who,1971,7.8,8.9,2025-04-24,4,4,0.25,4,3
58,33135,7.3,Won't Get Fooled Again,The Who,1971,7.8,8.9,2025-07-15,4,4,0.0,7,1
59,22743,5.0,Crazy Train,Ozzy Osbourne,1980,8.3,9.1,2025-11-10,4,4,0.25,11,0
60,23009,8.7,Born to Run,Bruce Springsteen,1975,6.8,8.7,2025-06-28,4,4,0.25,6,5
61,23685,7.4,Dream On,Aerosmith,1973,7.0,8.6,2026-01-14,4,4,0.25,1,2
62,35556,5.4,Kashmir,Led Zeppelin,1975,7.0,8.8,2025-11-05,3,4,0.25,11,2
63,23476,5.6,Livin' on a Prayer,Bon Jovi,1986,5.5,9.3,2026-01-02,4,4,0.25,1,4
64,13484,4.9,Highway to Hell,AC/DC,1979,5.8,8.9,2026-04-17,2,4,0.25,4,4
65,77579,6.2,Paranoid,Black Sabbath,1970,5.5,8.3,2026-02-02,4,4,0.0,2,0
