PERFORMANCE_ID,SONG_ID,PERFORMANCE_DATETIME,SCORE,RATING
1,11,2026-02-04 00:00:00.000,16517,6.7
2,3,2026-02-05 00:00:00.000,46750,4.6
3,9,2026-01-13 00:00:00.000,51119,8.0
4,12,2025-12-20 00:00:00.000,28606,4.4
5,2,2026-03-03 00:00:00.000,36951,1.7
6,2,2025-05-02 00:00:00.000,17283,1.2
7,6,2026-03-25 00:00:00.000,15076,8.5
8,17,2025-04-29 00:00:00.000,57395,5.3
9,19,2026-02-12 00:00:00.000,54580,7.6
10,18,2026-03-11 00:00:00.000,23375,4.3
11,7,2025-08-21 00:00:00.000,9096,7.9
12,6,2026-01-14 00:00:00.000,72329,2.1
13,20,2025-12-07 00:00:00.000,76765,2.9
14,16,2025-05-06 00:00:00.000,52133,9.2
15,4,2025-05-30 00:00:00.000,9523,0.7
16,1,2026-01-02 00:00:00.000,22468,5.2
17,4,2025-08-30 00:00:00.000,7297,7.7
18,16,2025-12-09 00:00:00.000,61833,5.3
19,17,2025-05-14 00:00:00.000,79554,6.5
20,13,2025-09-30 00:00:00.000,6621,0.3
21,3,2025-10-17 00:00:00.000,41256,4.3
22,2,2025-07-05 00:00:00.000,27216,7.2
23,13,2025-11-30 00:00:00.000,17247,0.1
24,6,2025-05-28 00:00:00.000,73242,3.2
25,3,2026-03-18 00:00:00.000,63233,7.2
26,15,2026-03-09 00:00:00.000,53619,6.4
27,9,2025-05-26 00:00:00.000,52149,0.4
28,1,2026-01-06 00:00:00.000,93785,9.7
29,19,2026-01-03 00:00:00.000,48007,8.8
30,13,2025-08-25 00:00:00.000,38521,6.0
31,8,2025-07-07 00:00:00.000,43346,5.5
32,12,2025-11-15 00:00:00.000,67362,9.6
33,13,2025-05-14 00:00:00.000,61386,3.2
34,12,2025-08-30 00:00:00.000,32544,1.4
35,8,2026-01-14 00:00:00.000,26095,1.7
36,16,2026-01-07 00:00:00.000,14599,9.7
37,13,2025-09-11 00:00:00.000,72830,6.8
38,17,2025-11-25 00:00:00.000,9869,6.3
39,5,2026-03-24 00:00:00.000,79227,4.7
40,14,2025-12-01 00:00:00.000,27727,8.2
41,11,2025-08-17 00:00:00.000,59902,8.6
42,16,2025-07-03 00:00:00.000,92578,0.6
43,9,2026-02-09 00:00:00.000,59806,3.3
44,13,2025-05-22 00:00:00.000,21967,1.8
45,7,2025-08-21 00:00:00.000,83475,4.3
46,16,2025-09-24 00:00:00.000,97673,7.9
47,9,2025-11-05 00:00:00.000,74553,3.6
48,8,2025-04-23 00:00:00.000,68553,9.3
49,9,2025-06-19 00:00:00.000,98293,0.3
50,18,2025-12-09 00:00:00.000,92350,7.1
51,20,2025-08-27 00:00:00.000,31281,4.1
52,4,2026-01-24 00:00:00.000,47114,5.5
53,16,2025-12-12 00:00:00.000,82755,2.7
54,17,2025-10-12 00:00:00.000,84860,8.7
55,6,2025-05-31 00:00:00.000,81041,1.5
56,12,2025-08-21 00:00:00.000,92402,2.2
57,14,2025-04-24 00:00:00.000,77542,2.7
58,14,2025-07-15 00:00:00.000,33135,7.3
59,15,2025-11-10 00:00:00.000,22743,5.0
60,9,2025-06-28 00:00:00.000,23009,8.7
61,11,2026-01-14 00:00:00.000,23685,7.4
62,16,2025-11-05 00:00:00.000,35556,5.4
63,18,2026-01-02 00:00:00.000,23476,5.6
64,20,2026-04-17 00:00:00.000,13484,4.9
65,10,2026-02-02 00:00:00.000,77579,6.2
66,20,2025-10-24 00:00:00.000,30467,1.9
67,11,2026-02-11 00:00:00.000,49135,8.7
68,7,2025-06-04 00:00:00.000,40401,2.4
69,9,2025-12-08 00:00:00.000,74441,1.0
70,1,2026-04-06 00:00:00.000,63823,4.3
71,3,2026-01-31 00:00:00.000,45813,7.0
72,15,2026-02-04 00:00:00.000,77453,2.5
73,15,2026-02-06 00:00:00.000,10550,6.2
74,17,2025-11-30 00:00:00.000,95050,2.5
75,15,2026-02-27 00:00:00.000,50332,9.6
