PERFORMANCE_PLAYER_ID,PERFORMANCE_ID,PLAYER_ID,INSTRUMENT_ID
1,1,11,1
2,1,1,4
3,1,18,2
4,1,4,3
5,2,1,1
6,2,1,4
7,2,13,2
8,2,18,3
9,3,20,1
10,3,15,4
11,3,15,2
12,3,20,3
13,4,4,1
14,4,6,4
15,4,20,2
16,4,18,3
17,5,8,1
18,5,12,4
19,5,13,2
20,5,7,3
21,6,7,1
22,6,20,4
23,6,13,2
24,6,16,3
25,7,6,1
26,7,1,4
27,7,9,2
28,7,13,3
29,8,1,1
30,8,15,4
31,8,20,2
32,8,17,3
33,9,10,1
34,9,6,4
35,9,9,2
36,9,18,3
37,10,2,1
38,10,4,4
39,10,11,2
40,10,14,3
41,11,11,1
42,11,13,4
43,11,4,2
44,11,4,3
45,12,2,1
46,12,20,4
47,12,11,2
48,12,9,3
49,13,17,1
50,13,10,4
51,13,6,2
52,13,18,3
53,14,14,1
54,14,7,4
55,14,18,2
56,14,4,3
57,15,15,1
58,15,11,4
59,15,14,2
60,15,19,3
61,16,4,1
62,16,17,4
63,16,15,2
64,16,8,3
65,17,2,1
66,17,17,4
67,17,9,2
68,17,8,3
69,18,11,1
70,18,1,4
71,18,4,2
72,18,19,3
73,19,18,1
74,19,10,4
75,19,13,2
76,19,11,3
77,20,14,1
78,20,14,4
79,20,13,2
80,20,9,3
81,21,3,1
82,21,17,4
83,21,10,2
84,21,3,3
85,22,17,1
86,22,20,4
87,22,10,2
88,22,9,3
89,23,13,1
90,23,19,4
91,23,18,2
92,23,8,3
93,24,3,1
94,24,10,4
95,24,10,2
96,24,19,3
97,25,14,1
98,25,16,4
99,25,1,2
100,25,2,3
101,26,10,1
102,26,2,4
103,26,15,2
104,26,11,3
105,27,15,1
106,27,4,4
107,27,6,2
108,27,14,3
109,28,15,1
110,28,16,4
111,28,20,2
112,28,7,3
113,29,16,1
114,29,4,4
115,29,8,2
116,29,15,3
117,30,7,1
118,30,12,4
119,30,12,2
120,30,14,3
121,31,15,1
122,31,8,4
123,31,4,2
124,31,17,3
125,32,12,1
126,32,20,4
127,32,12,2
128,32,20,3
129,33,20,1
130,33,6,4
131,33,1,2
132,33,13,3
133,34,12,1
134,34,7,4
135,34,4,2
136,34,3,3
137,35,19,1
138,35,2,4
139,35,18,2
140,35,1,3
141,36,17,1
142,36,13,4
143,36,9,2
144,36,12,3
145,37,20,1
146,37,19,4
147,37,2,2
148,37,10,3
149,38,16,1
150,38,2,4
151,38,1,2
152,38,20,3
153,39,7,1
154,39,8,4
155,39,16,2
156,39,6,3
157,40,10,1
158,40,9,4
159,40,17,2
160,40,10,3
161,41,16,1
162,41,6,4
163,41,4,2
164,41,17,3
165,42,6,1
166,42,5,4
167,42,12,2
168,42,9,3
169,43,5,1
170,43,5,4
171,43,16,2
172,43,13,3
173,44,17,1
174,44,17,4
175,44,2,2
176,44,19,3
177,45,7,1
178,45,12,4
179,45,6,2
180,45,5,3
181,46,8,1
182,46,8,4
183,46,20,2
184,46,5,3
185,47,20,1
186,47,20,4
187,47,6,2
188,47,11,3
189,48,20,1
190,48,3,4
191,48,17,2
192,48,16,3
193,49,4,1
194,49,15,4
195,49,12,2
196,49,8,3
197,50,3,1
198,50,20,4
199,50,5,2
200,50,20,3
201,51,10,1
202,51,6,4
203,51,19,2
204,51,4,3
205,52,20,1
206,52,6,4
207,52,3,2
208,52,14,3
209,53,10,1
210,53,4,4
211,53,7,2
212,53,15,3
213,54,11,1
214,54,20,4
215,54,16,2
216,54,2,3
217,55,1,1
218,55,7,4
219,55,7,2
220,55,11,3
221,56,11,1
222,56,6,4
223,56,20,2
224,56,18,3
225,57,1,1
226,57,18,4
227,57,3,2
228,57,6,3
229,58,14,1
230,58,15,4
231,58,7,2
232,58,5,3
233,59,17,1
234,59,12,4
235,59,18,2
236,59,19,3
237,60,11,1
238,60,8,4
239,60,10,2
240,60,5,3
241,61,18,1
242,61,17,4
243,61,6,2
244,61,8,3
245,62,4,1
246,62,10,4
247,62,11,2
248,62,4,3
249,63,11,1
250,63,20,4
251,63,17,2
252,63,10,3
253,64,4,1
254,64,4,4
255,64,4,2
256,64,19,3
257,65,4,1
258,65,13,4
259,65,9,2
260,65,11,3
261,66,7,1
262,66,9,4
263,66,11,2
264,66,4,3
265,67,7,1
266,67,18,4
267,67,20,2
268,67,1,3
269,68,10,1
270,68,10,4
271,68,1,2
272,68,9,3
273,69,15,1
274,69,10,4
275,69,16,2
276,69,19,3
277,70,1,1
278,70,12,4
279,70,15,2
280,70,8,3
281,71,6,1
282,71,20,4
283,71,9,2
284,71,13,3
285,72,10,1
286,72,3,4
287,72,10,2
288,72,10,3
289,73,13,1
290,73,5,4
291,73,9,2
292,73,12,3
293,74,11,1
294,74,10,4
295,74,1,2
296,74,13,3
297,75,17,1
298,75,3,4
299,75,13,2
300,75,17,3
301,76,8,1
302,76,11,4
303,76,8,2
304,76,2,3
305,77,17,1
306,77,2,4
307,77,1,2
308,77,16,3
309,78,20,1
310,78,15,4
311,78,20,2
312,78,5,3
313,79,2,1
314,79,18,4
315,79,15,2
316,79,15,3
317,80,2,1
318,80,4,4
319,80,17,2
320,80,13,3
321,81,1,1
322,81,13,4
323,81,19,2
324,81,15,3
325,82,10,1
326,82,8,4
327,82,17,2
328,82,7,3
329,83,14,1
330,83,17,4
331,83,3,2
332,83,7,3
333,84,16,1
334,84,5,4
335,84,3,2
336,84,20,3
337,85,18,1
338,85,16,4
339,85,15,2
340,85,6,3
341,86,7,1
342,86,11,4
343,86,5,2
344,86,3,3
345,87,4,1
346,87,18,4
347,87,12,2
348,87,4,3
349,88,10,1
350,88,5,4
351,88,13,2
352,88,16,3
353,89,9,1
354,89,11,4
355,89,10,2
356,89,12,3
357,90,5,1
358,90,1,4
359,90,2,2
360,90,9,3
361,91,13,1
362,91,6,4
363,91,7,2
364,91,11,3
365,92,12,1
366,92,7,4
367,92,15,2
368,92,4,3
369,93,19,1
370,93,12,4
371,93,1,2
372,93,6,3
373,94,15,1
374,94,8,4
375,94,11,2
376,94,5,3
377,95,15,1
378,95,9,4
379,95,2,2
380,95,2,3
381,96,7,1
382,96,6,4
383,96,3,2
384,96,14,3
385,97,6,1
386,97,15,4
387,97,5,2
388,97,11,3
389,98,10,1
390,98,9,4
391,98,4,2
392,98,11,3
393,99,6,1
394,99,16,4
395,99,17,2
396,99,16,3
397,100,18,1
398,100,8,4
399,100,13,2
400,100,15,3
401,101,5,1
402,101,11,4
403,101,10,2
404,101,10,3
405,102,6,1
406,102,17,4
407,102,9,2
408,102,15,3
409,103,5,1
410,103,14,4
411,103,7,2
412,103,3,3
413,104,11,1
414,104,8,4
415,104,17,2
416,104,6,3
417,105,17,1
418,105,5,4
419,105,20,2
420,105,1,3
421,106,17,1
422,106,13,4
423,106,3,2
424,106,3,3
425,107,7,1
426,107,7,4
427,107,2,2
428,107,18,3
429,108,5,1
430,108,4,4
431,108,8,2
432,108,7,3
433,109,5,1
434,109,8,4
435,109,13,2
436,109,19,3
437,110,11,1
438,110,10,4
439,110,12,2
440,110,10,3
441,111,13,1
442,111,4,4
443,111,11,2
444,111,7,3
445,112,15,1
446,112,9,4
447,112,4,2
448,112,14,3
449,113,5,1
450,113,1,4
451,113,4,2
452,113,2,3
453,114,6,1
454,114,8,4
455,114,1,2
456,114,2,3
457,115,11,1
458,115,5,4
459,115,19,2
460,115,9,3
461,116,17,1
462,116,16,4
463,116,3,2
464,116,13,3
465,117,2,1
466,117,17,4
467,117,15,2
468,117,6,3
469,118,5,1
470,118,2,4
471,118,11,2
472,118,17,3
473,119,18,1
474,119,9,4
475,119,9,2
476,119,7,3
477,120,3,1
478,120,6,4
479,120,1,2
480,120,5,3
481,121,17,1
482,121,10,4
483,121,8,2
484,121,10,3
485,122,15,1
486,122,14,4
487,122,6,2
488,122,7,3
489,123,2,1
490,123,6,4
491,123,19,2
492,123,6,3
493,124,16,1
494,124,9,4
495,124,11,2
496,124,1,3
497,125,10,1
498,125,11,4
499,125,5,2
500,125,18,3
501,126,1,1
502,126,5,4
503,126,7,2
504,126,14,3
505,127,16,1
506,127,18,4
507,127,18,2
508,127,17,3
509,128,9,1
510,128,11,4
511,128,5,2
512,128,8,3
513,129,15,1
514,129,4,4
515,129,13,2
516,129,20,3
517,130,1,1
518,130,16,4
519,130,9,2
520,130,11,3
521,131,7,1
522,131,19,4
523,131,11,2
524,131,12,3
525,132,19,1
526,132,1,4
527,132,14,2
528,132,6,3
529,133,15,1
530,133,19,4
531,133,4,2
532,133,9,3
533,134,19,1
534,134,13,4
535,134,18,2
536,134,5,3
537,135,15,1
538,135,13,4
539,135,9,2
540,135,1,3
541,136,5,1
542,136,18,4
543,136,11,2
544,136,8,3
545,137,18,1
546,137,5,4
547,137,6,2
548,137,9,3
549,138,2,1
550,138,4,4
551,138,1,2
552,138,10,3
553,139,7,1
554,139,20,4
555,139,13,2
556,139,7,3
557,140,18,1
558,140,4,4
559,140,12,2
560,140,1,3
561,141,11,1
562,141,12,4
563,141,20,2
564,141,15,3
565,142,12,1
566,142,8,4
567,142,4,2
568,142,5,3
569,143,18,1
570,143,3,4
571,143,14,2
572,143,11,3
573,144,1,1
574,144,17,4
575,144,8,2
576,144,9,3
577,145,1,1
578,145,11,4
579,145,9,2
580,145,6,3
581,146,19,1
582,146,19,4
583,146,13,2
584,146,12,3
585,147,16,1
586,147,13,4
587,147,6,2
588,147,15,3
589,148,5,1
590,148,15,4
591,148,4,2
592,148,10,3
593,149,11,1
594,149,14,4
595,149,17,2
596,149,4,3
597,150,14,1
598,150,8,4
599,150,17,2
600,150,3,3
601,151,18,1
602,151,12,4
603,151,6,2
604,151,9,3
605,152,3,1
606,152,14,4
607,152,3,2
608,152,3,3
609,153,8,1
610,153,12,4
611,153,14,2
612,153,19,3
613,154,11,1
614,154,4,4
615,154,13,2
616,154,4,3
617,155,20,1
618,155,7,4
619,155,1,2
620,155,17,3
