SONG_ID,SONG_NAME,ARTIST,RELEASE_YEAR,DIFFICULTY_RATING,FUN_RATING
1,Stairway to Heaven,Led Zeppelin,1971,8.5,9.0
2,Bohemian Rhapsody,Queen,1975,9.2,9.8
3,Hotel California,Eagles,1977,7.8,8.5
4,Sweet Child O Mine,Guns N Roses,1987,7.5,9.2
5,Back in Black,AC/DC,1980,6.0,8.8
6,Smoke on the Water,Deep Purple,1972,4.5,7.5
7,Free Bird,Lynyrd Skynyrd,1973,8.8,9.0
8,Paint It Black,The Rolling Stones,1966,6.5,8.0
9,Born to Run,Bruce Springsteen,1975,6.8,8.7
10,Paranoid,Black Sabbath,1970,5.5,8.3
11,Dream On,Aerosmith,1973,7.0,8.6
12,Thunderstruck,AC/DC,1990,8.0,9.5
13,Barracuda,Heart,1977,7.2,8.4
14,Won't Get Fooled Again,The Who,1971,7.8,8.9
15,Crazy Train,Ozzy Osbourne,1980,8.3,9.1
16,Kashmir,Led Zeppelin,1975,7.0,8.8
17,Don't Stop Believin',Journey,1981,5.0,9.5
18,Livin' on a Prayer,Bon Jovi,1986,5.5,9.3
19,We Will Rock You,Queen,1977,3.0,9.0
20,Highway to Hell,AC/DC,1979,5.8,8.9
